song_id,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20
S1,5,3,2,0,5,1,4,0,2,1,2,3,1,0,4,5,4,2,0,3
S2,3,3,5,4,1,3,2,4,0,5,3,1,5,2,4,1,0,5,4,4
S3,2,1,5,3,3,3,5,1,3,2,2,2,5,4,4,5,2,3,3,0
S4,0,0,3,0,3,0,2,4,1,1,3,4,5,3,3,1,1,4,5,2
S5,5,5,3,4,0,5,1,0,1,0,3,2,3,5,3,2,1,2,1,5
S6,1,2,4,4,3,5,4,1,3,1,0,0,0,4,1,3,1,4,3,5
S7,4,5,3,5,1,5,2,3,1,4,4,3,4,2,5,2,4,0,0,3
S8,0,0,2,4,2,2,4,5,0,3,4,3,2,4,1,0,3,5,0,2
S9,0,2,1,4,2,1,2,1,5,1,3,1,0,1,2,3,5,3,0,3
S10,0,3,4,2,4,3,2,5,3,3,3,3,5,1,4,5,2,5,2,2
S11,3,2,1,3,0,2,5,1,3,1,2,2,5,3,2,4,4,1,5,5
S12,1,4,0,3,1,3,3,5,3,1,3,4,4,4,2,4,5,4,0,4
S13,3,4,0,0,5,1,1,4,2,3,5,4,5,4,1,2,3,4,1,4
S14,0,5,3,0,4,5,5,1,0,2,0,1,1,5,5,4,5,2,3,3
S15,3,0,3,2,3,3,0,2,4,4,2,2,1,1,3,1,3,0,1,5
S16,3,1,2,0,0,4,1,3,5,4,0,5,5,5,1,5,0,5,5,2
S17,2,5,1,0,3,2,5,1,4,2,2,3,1,2,4,0,4,0,4,4
S18,2,1,4,4,2,1,0,4,4,3,3,5,3,1,3,0,5,2,4,4
S19,4,0,3,0,5,5,0,5,3,0,1,3,0,2,2,0,3,2,0,3
S20,2,1,0,4,4,5,0,0,1,0,1,1,2,3,1,3,5,2,0,5
S21,0,1,5,3,3,0,1,3,4,3,5,5,3,2,1,0,5,4,2,2
S22,0,1,2,5,1,4,3,1,2,0,2,3,0,2,5,1,3,2,4,5
S23,1,4,0,2,5,5,3,1,0,1,0,1,0,3,0,2,4,1,4,4
S24,1,4,5,1,3,5,1,2,0,4,2,1,5,1,4,5,4,0,3,3
S25,2,2,3,2,4,1,3,3,4,0,1,1,0,1,4,1,4,4,3,0
S26,1,3,5,0,0,1,0,5,4,1,1,0,4,0,0,0,5,0,5,5
S27,1,2,2,0,1,3,0,2,2,5,4,2,4,2,2,1,4,2,3,1
S28,2,0,1,4,5,2,0,5,1,0,5,4,2,3,2,3,3,3,1,0
S29,0,4,0,0,5,4,0,2,3,1,2,3,1,4,3,1,3,1,5,5
S30,2,1,3,5,0,5,5,4,5,5,5,3,2,4,4,5,1,1,4,3
S31,4,5,0,0,4,4,4,3,2,4,4,2,2,4,2,4,3,3,0,5
S32,0,4,3,4,5,4,4,3,2,3,2,5,2,1,2,4,3,5,4,1
S33,5,0,1,0,0,5,1,1,0,4,1,4,4,3,2,1,0,5,3,2
S34,2,4,3,2,3,3,5,2,4,1,2,2,3,3,3,1,1,5,5,2
S35,4,1,4,0,0,2,3,4,5,3,4,1,1,2,5,1,2,0,5,2
S36,5,5,5,3,3,5,3,0,0,3,0,1,1,4,1,4,3,2,4,1
S37,3,0,4,2,3,3,2,0,2,0,5,2,3,5,1,2,1,4,4,1
S38,0,1,1,1,4,3,2,0,0,1,4,4,5,4,5,5,3,4,4,3
S39,2,2,0,2,5,5,4,5,4,3,4,2,3,1,5,1,3,4,2,1
S40,5,5,5,3,4,5,0,5,4,1,2,2,3,1,0,4,1,3,5,3
S41,1,1,2,3,2,0,5,2,4,2,3,1,2,2,2,1,3,2,1,1
S42,0,4,5,2,3,1,3,0,4,3,2,2,1,5,2,3,4,1,1,0
S43,4,0,1,3,3,0,4,1,2,1,2,1,4,1,0,5,0,2,3,0
S44,0,1,5,0,3,4,5,4,5,5,4,4,5,4,0,0,3,4,0,5
S45,5,5,2,5,1,0,5,3,3,4,3,0,5,4,4,2,2,5,4,0
S46,4,4,5,2,3,0,4,1,3,2,3,0,3,5,4,3,1,0,3,4
S47,4,1,5,3,3,3,4,4,3,4,5,0,3,3,5,4,0,0,0,5
S48,5,2,5,5,0,1,5,2,3,1,3,2,1,3,5,0,3,4,4,4
S49,5,2,3,4,1,0,5,5,1,4,0,5,0,2,2,3,5,0,0,0
S50,0,4,0,4,1,1,0,5,5,1,2,1,5,0,4,2,5,5,0,1
S51,3,4,1,4,2,2,3,5,5,1,4,5,5,1,4,2,5,1,2,1
S52,0,1,4,0,5,4,3,4,0,0,3,2,5,2,2,1,2,2,1,3
S53,4,4,4,1,3,5,3,4,2,3,4,5,4,2,0,0,3,1,5,1
S54,4,5,5,5,4,0,2,3,1,2,2,3,3,0,1,2,3,2,3,5
S55,0,3,5,3,0,1,4,3,2,0,5,5,4,2,3,5,2,3,5,1
S56,2,2,2,5,4,1,5,2,4,3,0,4,5,1,4,0,2,1,5,3
S57,0,1,1,1,3,5,5,0,3,1,2,1,5,4,0,3,5,3,1,5
S58,2,5,2,3,3,0,1,3,5,1,5,5,4,0,0,3,2,1,0,0
S59,4,0,5,2,0,2,4,1,4,0,0,1,0,2,5,0,1,3,1,3
S60,2,2,2,5,2,4,5,4,2,5,0,1,4,2,4,4,3,3,0,2
S61,0,4,1,4,0,3,4,1,5,0,4,5,4,2,1,3,2,4,3,0
S62,5,3,0,4,1,0,0,5,4,1,0,5,4,3,3,0,2,5,3,0
S63,0,1,1,1,5,1,1,4,4,1,4,2,0,0,1,3,3,4,3,1
S64,1,4,0,4,1,0,0,0,3,0,2,0,3,3,0,4,4,0,1,5
S65,2,5,1,5,3,2,2,2,2,2,5,1,5,2,0,4,3,2,0,4
S66,2,0,5,4,0,0,0,2,4,2,0,5,1,4,2,0,0,3,2,0
S67,1,3,0,2,4,1,4,3,5,4,3,2,0,3,0,0,4,5,3,2
S68,1,3,1,2,1,0,2,5,5,2,0,4,5,1,4,2,1,5,1,2
