song_id,year,avg_rating,rock,classical,pop,jazz,hiphop
1,1995,4.6,1,0,0,0,0
2,2001,4.7,1,0,0,0,0
3,2010,4.2,1,0,0,0,0
4,2020,4.4,1,0,0,0,0
5,1980,4.8,0,1,0,0,0
6,1990,4.6,0,1,0,0,0
7,2005,4.9,0,1,0,0,0
8,2018,4.3,0,1,0,0,0
9,1999,4.5,0,0,1,0,0
10,2003,4.1,0,0,1,0,0
11,2012,4.7,0,0,1,0,0
12,2021,4.4,0,0,1,0,0
13,1975,4.9,0,0,0,1,0
14,1985,4.6,0,0,0,1,0
15,1998,4.7,0,0,0,1,0
16,2015,4.3,0,0,0,1,0
17,2000,4.5,0,0,0,0,1
18,2008,4.6,0,0,0,0,1
19,2016,4.2,0,0,0,0,1
20,2022,4.4,0,0,0,0,1
21,1996,4.5,1,0,0,0,0
22,2004,4.3,1,0,0,0,0
23,2011,4.6,1,0,0,0,0
24,2019,4.2,1,0,0,0,0
25,1982,4.7,0,1,0,0,0
26,1992,4.8,0,1,0,0,0
27,2007,4.6,0,1,0,0,0
28,2017,4.4,0,1,0,0,0
29,2001,4.2,0,0,1,0,0
30,2006,4.3,0,0,1,0,0
31,2013,4.7,0,0,1,0,0
32,2020,4.5,0,0,1,0,0
33,1978,4.8,0,0,0,1,0
34,1988,4.6,0,0,0,1,0
35,1999,4.7,0,0,0,1,0
36,2016,4.4,0,0,0,1,0
37,2002,4.5,0,0,0,0,1
38,2009,4.6,0,0,0,0,1
39,2014,4.3,0,0,0,0,1
40,2023,4.5,0,0,0,0,1
41,1994,4.4,1,0,0,0,0
42,2000,4.6,1,0,0,0,0
43,2009,4.5,1,0,0,0,0
44,2018,4.3,1,0,0,0,0
45,1981,4.8,0,1,0,0,0
46,1991,4.7,0,1,0,0,0
47,2006,4.6,0,1,0,0,0
48,2014,4.4,0,1,0,0,0
49,2002,4.3,0,0,1,0,0
50,2008,4.2,0,0,1,0,0
51,2011,4.6,0,0,1,0,0
52,2022,4.5,0,0,1,0,0
53,1979,4.9,0,0,0,1,0
54,1987,4.6,0,0,0,1,0
55,1997,4.7,0,0,0,1,0
56,2013,4.4,0,0,0,1,0
57,2003,4.5,0,0,0,0,1
58,2010,4.6,0,0,0,0,1
59,2017,4.3,0,0,0,0,1
60,2021,4.4,0,0,0,0,1
61,1993,4.5,1,0,0,0,0
62,2001,4.6,1,0,0,0,0
63,2008,4.5,1,0,0,0,0
64,2019,4.3,1,0,0,0,0
65,1984,4.8,0,1,0,0,0
66,1994,4.7,0,1,0,0,0
67,2009,4.6,0,1,0,0,0
68,2016,4.4,0,1,0,0,0
69,2000,4.3,0,0,1,0,0
70,2005,4.2,0,0,1,0,0
71,2012,4.6,0,0,1,0,0
72,2020,4.5,0,0,1,0,0
73,1977,4.9,0,0,0,1,0
74,1989,4.6,0,0,0,1,0
75,1996,4.7,0,0,0,1,0
76,2015,4.4,0,0,0,1,0
77,2004,4.5,0,0,0,0,1
78,2011,4.6,0,0,0,0,1
79,2018,4.3,0,0,0,0,1
80,2022,4.5,0,0,0,0,1
81,1992,4.4,1,0,0,0,0
82,2003,4.6,1,0,0,0,0
83,2010,4.5,1,0,0,0,0
84,2021,4.3,1,0,0,0,0
85,1983,4.8,0,1,0,0,0
86,1995,4.7,0,1,0,0,0
87,2007,4.6,0,1,0,0,0
88,2017,4.4,0,1,0,0,0
89,2001,4.3,0,0,1,0,0
90,2006,4.2,0,0,1,0,0
91,2013,4.6,0,0,1,0,0
92,2023,4.5,0,0,1,0,0
93,1976,4.9,0,0,0,1,0
94,1986,4.6,0,0,0,1,0
95,1998,4.7,0,0,0,1,0
96,2014,4.4,0,0,0,1,0
97,2002,4.5,0,0,0,0,1
98,2009,4.6,0,0,0,0,1
99,2016,4.3,0,0,0,0,1
100,2020,4.5,0,0,0,0,1
